rera_office_number,company_name_en,company_name_ar,trade_licence,status,registration_date,expiry_date,address,phone_office,email_office,website,specialisation_tags,land_specialist_flag,source_url,retrieved_date,pdpl_compliance_note
CN-1069963,Sama International Properties,,,,,,"Office mezanen, Building same bldng of pizza pie, Al Khalidiya, khalidiya, Abu Dhabi, PO Box 0000",+97126503339,,https://www.propertyfinder.ae/en/broker/sama-international-properties-1855,"commercial_listings:1,total_properties:2",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1073962,Profile Group Properties LLC,,,,,,"Office Villa A03, Building Marina Office Park [behind Marina Mall], Marina Village, marinaa village, Abu Dhabi, PO Box 000000",+97126355500,info@profilegroup.ae,https://www.propertyfinder.ae/en/broker/profile-group-properties-llc-790,"commercial_listings:1,total_properties:30",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1074043,MAAM Property Investment,,,,,,"Office 8th floor, Building Al Jowhara Tower, Al Mina, Dimyat Mas'oud Street, Abu Dhabi,",+971567533363,angelica@maam.ae,https://www.propertyfinder.ae/en/broker/maam-property-investment-12488,"investment,commercial_listings:1,total_properties:27",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1074826,Al Mamzar Real Estate,,,,,,"Office 13, Building skybox al jazzera club, Al Nahyan, Muroor, Abu Dhabi, PO Box 00",+97124447999,info@mmzr.ae,https://www.propertyfinder.ae/en/broker/al-mamzar-real-estate-2957,"commercial_listings:8,total_properties:54",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1078986,Remax Real Estate - LLC,,,,,,"Office 2, Building 9, Al Danah, east, Abu Dhabi, PO Box 0",+971501544806,info@remax.ae,https://www.propertyfinder.ae/en/broker/remax-real-estate-llc-11122,"commercial_listings:2,total_properties:60",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1080035,ALHADEEL REAL STATE L.L.C - SOLE PROPRIETORSHIP L.L.C.,,,,,,"Office 11, Building al wahda commercial tower, Airport Road, al wahda tower, Abu Dhabi, PO Box -",+97128870770,infoauh@alhadelgroup.com,https://www.propertyfinder.ae/en/broker/alhadeel-real-state-l-l-c-sole-proprietorship-l-l-c-v2-12960,total_properties:2,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1080347,RELAAM REAL ESTATE - L.L.C,,,,,,"Office Upper Basement Level, Madinat Zayed, Marina Mall, Abu Dhabi,",+97124067391,van.pasilan@relaam.com,https://www.propertyfinder.ae/en/broker/relaam-real-estate-l-l-c-1046,"commercial_listings:26,total_properties:35",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1106902,AL BASRA GEN. CONTRACTING CO.- LIMITED LIABILITY,,,,,,"Office 25, Building -, Al Ain Industrial Area, Al Noud, Al Ain, PO Box -",+971559177723,,https://www.propertyfinder.ae/en/broker/al-basra-gen-contracting-co-limited-liability-v2-179950,"commercial_listings:2,total_properties:24",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1139084,CONSTRUCTION WORKERS RESIDENTIONAL CITY,,,,,,"Office 1, Building CWRC, Baniyas, al mafraq industrial, Abu Dhabi,",+97125850808,hemanta.karki@cwrc.ae,https://www.propertyfinder.ae/en/broker/construction-workers-residentional-city-9066,"commercial_listings:1,total_properties:1",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1141107,DAMAS REAL ESTATE - SOLE PROPRIETORSHIP L.L.C,,,,,,"Office ., Building ., Abu Dhabi Gate City, ., Abu Dhabi, PO Box .",+97125551370,management@damasrealestate1.ae,https://www.propertyfinder.ae/en/broker/damas-real-estate-sole-proprietorship-l-l-c-v2-180410,"commercial_listings:2,total_properties:7",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1144370,MD Real Estate LLC,,,,,,"Office ,, Building Building H, Khalifa City, Al Forsan Village, Abu Dhabi,",+97126429875,kika@mduae.net,https://www.propertyfinder.ae/en/broker/md-real-estate-llc-560,total_properties:208,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1144450,Model Town Real Estate & General Maintenance LLC,,,,,,"Office M37, Building villa 36, Khalifa City, khalifa city a, Abu Dhabi,",+971506915125,,https://www.propertyfinder.ae/en/broker/model-town-real-estate-general-maintenance-llc-1906,total_properties:17,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1144795,Rex Real Estate,,,,,,"Office St regis, Building St regis hotel, Saadiyat Island, Saadiyat, Abu Dhabi,",+971502316677,info@rexuae.com,https://www.propertyfinder.ae/en/broker/rex-real-estate-1322,total_properties:3,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1150220,New Star Property Management,,,,,,"Office M Floor, Building NSPM Building, Al Wahda, Muroor St., Abu Dhabi, PO Box 000",+97126220040,e.lazzaro@newstar-llc.ae,https://www.propertyfinder.ae/en/broker/new-star-property-management-2110,total_properties:17,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1154203,MPM Properties,,,,,,"Office Ground floor, Building ADIB Building,, Al Bateen, Hazza Bin Zayed St., Abu Dhabi, PO Box 7148",+97126100545,imran.munir@mpmproperties.ae,https://www.propertyfinder.ae/en/broker/mpm-properties-1215,"commercial_listings:4,total_properties:9",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1158370,Abraj Al Husam Real Estate,,,,,,"Office office 6, Building M R M Salon, Khalifa City, khalifa city A, Abu Dhabi, PO Box 0000",+971555153015,,https://www.propertyfinder.ae/en/broker/abraj-al-husam-real-estate-3642,total_properties:1,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1170545,One Deal Property Management And General Maintenance LLC,,,,,,"Office 140, Building Al jimi building, Al Jimi, Al Jimi 1, Al Ain, PO Box 00",+971527766872,,https://www.propertyfinder.ae/en/broker/one-deal-property-management-and-general-maintenance-llc-6963,"commercial_listings:1,total_properties:6",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1170664,SERVCORP,,,,,,"Office Level 17, Building World Trade Center, Corniche Area, -, Abu Dhabi, PO Box -",+97126594100,meriem.sayah@servcorp.me,https://www.propertyfinder.ae/en/broker/servcorp-12952,"commercial_listings:8,total_properties:8",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1173770,Savills Abu Dhabi,,,,,,"Office Office 1201, Building Blue Sky Tower, Capital Centre, Khaleej Al Arabi, Abu Dhabi,",+97144391210,ali.ishaq@savills.me,https://www.propertyfinder.ae/en/broker/savills-abu-dhabi-862,"commercial_listings:5,total_properties:158",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1175763,Star Oscar Properties,,,,,,"Office 1, Building Building 304 ahmed faraj almuhairby, Al Reem Island, salem street, Abu Dhabi,",+971554988899,rabih@rabih.ca,https://www.propertyfinder.ae/en/broker/star-oscar-properties-3696,total_properties:1,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1177421,Luxury Homes Real Estate,,,,,,"Office 301, 3rd Floor, Building 37, Al Jimi, Al Taqqadum Street, Civic Center, Al Ain,",+971566609360,arif@luxuryhomes.co.ae,https://www.propertyfinder.ae/en/broker/luxury-homes-real-estate-2975,"commercial_listings:12,total_properties:14",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1177651,Curve Real Estate,,,,,,"Office 1201, Building Chain Holding Tower, Muroor Area, Muroor area, Abu Dhabi, PO Box 00000",+971504946173,pm@chain.ae,https://www.propertyfinder.ae/en/broker/curve-real-estate-12644,total_properties:13,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1178171,Eastern Sands Real Estate,,,,,,"Office 902, Building kamala tower, Al Khalidiya, Khalidya Street, Abu Dhabi, PO Box 131425",+97126431769,abir@esands.ae,https://www.propertyfinder.ae/en/broker/eastern-sands-real-estate-757,"commercial_listings:2,total_properties:52",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1180810,Mirage Capital Properties LLC,,,,,,"Office 1505 floor, Building Sheikha jamela tower, Airport Road, Airport road, Abu Dhabi,",+971502022797,info@mcpuae.com,https://www.propertyfinder.ae/en/broker/mirage-capital-properties-llc-5791,total_properties:363,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1183312,Don Rite Real Estate,,,,,,"Office 301, Building Next to Murooj hotel, Muroor Area, Muroor area, Abu Dhabi, PO Box 0000",+971501111728,kkaramastaji@donriterealestate.com,https://www.propertyfinder.ae/en/broker/don-rite-real-estate-4719,total_properties:32,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1184085,Ciarla Properties,,,,,,"Office -, Building -, Al Reem Island, -, Abu Dhabi, PO Box -",+971503496048,info@ciarlaproperties.com,https://www.propertyfinder.ae/en/broker/ciarla-properties-10754,total_properties:1,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1195521,Sindh Real Estate - Sole Proprietorship LLC,,,,,,"Office M Floor Office B27, Building Block B, Al Khalidiya, Khalidiya, Abu Dhabi,",+971555502889,,https://www.propertyfinder.ae/en/broker/sindh-real-estate-sole-proprietorship-llc-1807,total_properties:6,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1197386,Nationwide Middle East Properties LLC,,,,,,"Office 1701, Building Das Tower - Corniche Rd - Abu Dhabi, Corniche Road, Corniche Rd, Abu Dhabi,",+97124912291,ameen@nwmea.com,https://www.propertyfinder.ae/en/broker/nationwide-middle-east-properties-llc-772,total_properties:521,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1324168,Infinite Dimensions Property Advisory LLC,,,,,,"Office 402, Building Sorouh Building, Al Nahyan, Murour Street, Abu Dhabi,",+97124443435,fzarouni@idimensionsuae.com,https://www.propertyfinder.ae/en/broker/infinite-dimensions-property-advisory-llc-847,total_properties:18,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1328060,Pure Home Real Estate,,,,,,"Office 403, Building AL WAHDA COMMERCIAL TOWER, Al Wahda, DEFENSE ROAD, Abu Dhabi,",+97124466775,rania@purehome-re.ae,https://www.propertyfinder.ae/en/broker/pure-home-real-estate-819,"commercial_listings:1,total_properties:17",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1336454,Galaxy Blue Real Estate LLC,,,,,,"Office 000, Building Mazyad Mall Office, Mohamed Bin Zayed City, Mazyad Mall, Abu Dhabi,",+971503775699,,https://www.propertyfinder.ae/en/broker/galaxy-blue-real-estate-llc-1497,total_properties:9,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1390797,Select Homes Real Estate,,,,,,"Office Office 918, Building Corniche Building 5, Al Markaziyah, Qroun At Tufouh Street, Abu Dhabi, PO Box 00000",+97124910091,michelle@selecthomes.ae,https://www.propertyfinder.ae/en/broker/select-homes-real-estate-1415,total_properties:19,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1424904,First Choice Properties,,,,,,"Office Showroom 1, G Floor, Building Al Wahda City Residential Tower, Al Nahyan, Next Grand Millennium, Abu Dhabi,",+97143211717,mlakki@fcprop.net,https://www.propertyfinder.ae/en/broker/first-choice-properties-914,total_properties:283,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1470648,Future Direction Properties,,,,,,"Office 441, Building Mazyad Mall,  4th Floor Tower, Mussafah, 28th Street, Near Mussaffah, Abu Dhabi,",+971501108683,,https://www.propertyfinder.ae/en/broker/future-direction-properties-4448,total_properties:16,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1487192,Crompton Partners Estate Agents AUH,,,,,,"Office 8, Building Zayed Stadium, Zayed Sports City, Zayed Sports City, Abu Dhabi,",8002723,ben.crompton@cpestateagents.com,https://www.propertyfinder.ae/en/broker/crompton-partners-estate-agents-auh-1007,total_properties:366,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1716171,INTERNATIONAL NMS PROPERTY MANAGEMENT,,,,,,"Office Mezannine 2, Building Al Falahi Building, Muroor Area, Street: 23rd Street Muroor Road, Abu Dhabi, PO Box 0",+97126359699,trading@nmsgroup.ae,https://www.propertyfinder.ae/en/broker/international-nms-property-management-7463,total_properties:47,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1722118,Zain Middle East Properties LLC,,,,,,"Office Office 2304, Building C88 Tower A, Electra Street, Electra St., Abu Dhabi,",+97126412151,jawad@zainme.net,https://www.propertyfinder.ae/en/broker/zain-middle-east-properties-llc-1222,"commercial_listings:3,total_properties:130",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1723194,Re/Max Smart Concept Real Estate,,,,,,"Office office 302, Building Al Faheem Building, Airport Road, Airport Road, Abu Dhabi,",+97124957070,moayyad.massad@concept-uae.com,https://www.propertyfinder.ae/en/broker/remax-smart-concept-real-estate-1242,total_properties:145,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1732335,EnSky Real Estate LLC,,,,,,"Office F04A First Floor, Building Al Raha Mall, Al Raha Beach, Al Raha, Abu Dhabi, PO Box 130799",+97124480086,ayub.k@enskyuae.com,https://www.propertyfinder.ae/en/broker/ensky-real-estate-llc-1257,total_properties:58,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1755016,Diamond Nest Property Management,,,,,,"Office 3rd floor, office 5, Building same bldng of Land Mark Plaza, Al Mina, 01, Abu Dhabi,",+971554785345,,https://www.propertyfinder.ae/en/broker/diamond-nest-property-management-3358,total_properties:16,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1760474,Bold Middle East,,,,,,"Office South West 9 - M1, Building Office No 1, Mohamed Bin Zayed City, Sheikh Rashid Bin Saeed St, Abu Dhabi,",+971504458680,,https://www.propertyfinder.ae/en/broker/bold-middle-east-2919,"commercial_listings:3,total_properties:4",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1761158,Golden Rose Property Management,,,,,,"Office 3rd floor, Building Behind Red Plaza, Al Salam Street, Salam street, Abu Dhabi,",+971553730005,,https://www.propertyfinder.ae/en/broker/golden-rose-property-management-1418,"commercial_listings:4,total_properties:29",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1773051,Henry Wiltshire International,,,,,,"Office K2 L1, Building Aldar HQ, Al Raha Beach, Al Raha, Abu Dhabi, PO Box 12985",+97125553328,andrew.covill@henrywiltshire.com,https://www.propertyfinder.ae/en/broker/henry-wiltshire-international-1430,total_properties:127,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1830343,Town Properties,,,,,,"Office 6th floor, Building Opp med clinic, Al Nahyan, Mamoura Area, Abu Dhabi, PO Box 000000",+971553370329,rajaa@town.ae,https://www.propertyfinder.ae/en/broker/town-properties-3088,"commercial_listings:3,total_properties:70",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1835424,Grand Falcon Real Estate Management LLC,,,,,,"Office M 37, Building Plot no 18, Mussafah, M 37, Abu Dhabi,",+971505622779,,https://www.propertyfinder.ae/en/broker/grand-falcon-real-estate-management-llc-3521,"commercial_listings:38,total_properties:38",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1878105,Best Home international,,,,,,"Office 4th floor, Building mazyad mall building 2, Mohamed Bin Zayed City, Mazyad mall, Abu Dhabi,",+971552000421,info@bhgroupae.com,https://www.propertyfinder.ae/en/broker/best-home-international-3842,"commercial_listings:9,total_properties:9",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1901076,Yellow Line Real Estate,,,,,,"Office 01, Building Hamdan Street M Floor Same Building Of AL Ansari Exchange Abu Dhabi, Khalifa City, 01, Abu Dhabi,",+971565425446,,https://www.propertyfinder.ae/en/broker/yellow-line-real-estate-1904,total_properties:19,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1919804,Tri Homes Real Estate Brokers,,,,,,"Office Office 52 Level 15, Building Al Ferdous Tower, Al Salam Street, Salam Street, Abu Dhabi, PO Box 0",+971526896836,lei@trihomesre.com,https://www.propertyfinder.ae/en/broker/tri-homes-real-estate-brokers-2818,total_properties:17,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1932731,Lamaison Real Estate LLC,,,,,,"Office 1201, P.O. Box:31991, Building Nissan Showroom Building, Al Najda Street, Najda Street, Abu Dhabi,",+971562533452,info@lamaison-engineering.com,https://www.propertyfinder.ae/en/broker/lamaison-real-estate-llc-5524,"commercial_listings:4,total_properties:153",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1963927,MAXHOME PROPERTIES SOLE-PROPRIETORSHIP L.L.C.,,,,,,"Office Floor 11, Building Al Muhairy Center, Al Manhal, Zayed The First Street, Abu Dhabi, PO Box 94449",+97126665599,info@maxhomeproperty.com,https://www.propertyfinder.ae/en/broker/maxhome-properties-sole-proprietorship-l-l-c-2479,"commercial_listings:130,total_properties:130",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1983814,City Plaza Real Estate,,,,,,"Office Gate 26 3rd Floor, Building Al Jazira Sports Stadium, Al Etihad, Al Muroor, Abu Dhabi,",+971566664123,amira@cityplazaproperties.com,https://www.propertyfinder.ae/en/broker/city-plaza-real-estate-2135,total_properties:48,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-2012781,AlKojak Properties LLC,,,,,,"Office 303, Building Al Heba Salon Bldg., Al Khalidiya, Khalidiya, Abu Dhabi,",+971557223991,info@alkojak.com,https://www.propertyfinder.ae/en/broker/alkojak-properties-llc-3703,"commercial_listings:7,total_properties:53",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-2013557,Deans Real Estate Management L.L.C.,,,,,,"Office Office 601, Building C54, Al Nahyan, Al Mamoura, Abu Dhabi,",+971562403203,info@deans.ae,https://www.propertyfinder.ae/en/broker/deans-real-estate-management-l-l-c-3177,"commercial_listings:2,total_properties:175",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
